"Cebolla", 78.76, 856
"Naranja", 11.95, 960
"Pomelo", 42.33, 729
"Naranja", 21.96, 1110
"Zuccini", 97.46, 702
"Mandarina", 18.78, 870
"Frutilla", 268.31, 330
"Limon", 346.07, 819
"Rabanito", 204.85, 324
"Mandarina", 18.29, 860
"Mandarina", 18.96, 1150
"Banana", 68.38, 1020
"Durazno", 126.07, 920
"Apio", 43.47, 303
"Lima", 1039.41, 162
"Berenjena", 55.61, 624
"Kiwi", 422.27, 440
"Banana", 60.54, 1050
"Kiwi", 410.30, 344
"Repollo", 6.54, 567
"Batata", 20.43, 1040
"Mandarina", 15.23, 850
"Repollo", 4.47, 588
"Pomelo", 45.41, 900
"Berenjena", 55.64, 612
"Batata", 18.20, 1130
"Ciruela", 939.69, 792
"Limon", 332.28, 756
"Uva", 728.87, 321
"Palta", 1169.46, 352
"Cereza", 1033.67, 184
"Palta", 454.44, 425
"Higo", 2463.94, 112
"Rabanito", 229.10, 261
"Durazno", 138.42, 928
"Melon", 82.65, 340
"Limon", 337.85, 721
"Caqui", 805.97, 80
"Ajo", 867.56, 94
"Berenjena", 63.39, 582
"Choclo", 47.25, 321
"Pera", 148.28, 1000
"Lechuga", 44.27, 981
"Naranja", 14.60, 1090
"Sandia", 55.54, 1044
"Tomate", 764.92, 900
"Esparrago", 612.83, 188
"Caqui", 878.91, 90
"Durazno", 133.12, 912
"Rabanito", 219.44, 270
"Durazno", 293.91, 704
"Choclo", 50.76, 312
"Brocoli", 350.77, 468
"Mandarina", 22.57, 1030
"Kiwi", 416.99, 360
"Calabaza", 22.44, 848
"Sandia", 51.97, 954
"Kinoto", 29.96, 162
"Manzana", 134.66, 800
"Lima", 1392.99, 208
"Mandarina", 30.72, 1040
"Frutilla", 324.12, 327
"Naranja", 22.61, 890
"Naranja", 14.60, 1140
"Berenjena", 58.53, 492
"Sandia", 42.33, 819
"Kinoto", 39.26, 206
"Zanahoria", 37.00, 510
"Zuccini", 91.77, 690
"Palta", 492.34, 430
"Mandarina", 25.23, 820
"Manzana", 135.03, 950
"Kinoto", 21.49, 198
"Apio", 53.44, 327
"Kiwi", 417.43, 460
"Pomelo", 49.01, 810
"Naranja", 16.37, 830
"Pomelo", 46.62, 990
"Higo", 2576.97, 115
"Alcachofa", 161.67, 255
"Cereza", 1045.84, 238
"Manzana", 157.77, 1110
"Morron", 3041.11, 546
"Kiwi", 430.00, 468
"Naranja", 15.12, 910
"Alcachofa", 144.29, 318
"Mandarina", 25.41, 880
"Zuccini", 85.83, 504
"Kiwi", 411.15, 460
"Lima", 1424.35, 160
"Pomelo", 49.57, 1035
"Lima", 1217.75, 176
"Lima", 1027.97, 214
"Mandarina", 29.47, 1110
"Ajo", 895.18, 82
"Berenjena", 57.33, 642
"Batata", 13.76, 1120
"Ajo", 919.22, 106
"Higo", 2416.83, 103
"Naranja", 10.36, 910
"Coliflor", 33.32, 505
"Sandia", 69.16, 954
"TomCherry", 567.48, 200
"Durazno", 154.95, 952
"Palta", 490.77, 460
"Manzana", 126.57, 900
"Melon", 113.08, 432
"Manzana", 144.49, 960
"Tomate", 755.03, 990
"Lechuga", 46.70, 747
"Brocoli", 349.65, 328
"Durazno", 134.71, 696
"TomCherry", 571.18, 210
"Alcachofa", 138.77, 351
"Zanahoria", 44.27, 678
"Zanahoria", 38.53, 618
"Lechuga", 37.11, 1026
"Champignon", 3555.80, 106
"Repollo", 5.47, 616
"Melon", 97.78, 356
"Batata", 25.75, 940
"Durazno", 283.15, 656
"Melon", 82.26, 408
"TomCherry", 540.21, 222
"Lima", 1302.19, 206
"Lima", 1189.42, 224
"Naranja", 17.52, 1160
"Naranja", 10.64, 950
"Limon", 330.35, 728
"Choclo", 63.93, 312
"Berenjena", 49.44, 534
"Lechuga", 32.35, 1044
"Naranja", 18.12, 1070
"Cebolla", 66.93, 944
"Alcachofa", 145.68, 291
"Kinoto", 41.79, 222
"Lima", 1181.93, 240
"Champignon", 3489.56, 110
"Naranja", 17.15, 1070
"Ciruela", 1002.33, 954
"Limon", 307.90, 714
"Melon", 106.26, 412
"Champignon", 3543.03, 102
"Caqui", 821.14, 84
"Ciruela", 991.35, 1062
"Ajo", 906.83, 89
"Limon", 317.37, 637
"Kinoto", 37.89, 220
"Cereza", 1005.90, 204
"Manzana", 146.26, 1120
"Melon", 97.51, 444
"Caqui", 838.80, 82
"Pera", 164.83, 1060
"Repollo", 3.50, 567
"Papa", 16.15, 1130
"Cereza", 1063.95, 168
"Tomate", 775.15, 846
"Rabanito", 213.58, 255
"Caqui", 784.93, 112
"Naranja", 19.96, 880
"Banana", 69.10, 860
"Lima", 1035.79, 236
"Mandarina", 23.97, 870
"Palta", 477.07, 485
